"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a customer
  I want to search for products
  So that I can view relevant search results","10865","Search results should include the searched keyword in their titles","","Sat Feb 28 02:40:23 UTC 2026","passed","Sat Feb 28 02:40:34 UTC 2026","","Product Search","Search results should include the searched keyword in their titles",""
"  As a customer
  I want to search for products
  So that I can view relevant search results","11774","User can navigate to second page of search results","","Sat Feb 28 02:40:01 UTC 2026","passed","Sat Feb 28 02:40:13 UTC 2026","","Product Search","User can navigate to second page of search results",""
"  As a customer
  I want to search for products
  So that I can view relevant search results","9074","Search for a valid product","","Sat Feb 28 02:39:43 UTC 2026","passed","Sat Feb 28 02:39:52 UTC 2026","","Product Search","Search for a valid product",""
"  As a customer
  I want to search for products
  So that I can view relevant search results","12039","User can navigate using Next button","","Sat Feb 28 02:40:11 UTC 2026","passed","Sat Feb 28 02:40:23 UTC 2026","","Product Search","User can navigate using Next button",""
"  As a customer
  I want to search for products
  So that I can view relevant search results","10583","Page title should contain searched product","","Sat Feb 28 02:40:01 UTC 2026","passed","Sat Feb 28 02:40:11 UTC 2026","","Product Search","Page title should contain searched product",""
"  As a customer
  I want to search for products
  So that I can view relevant search results","38609","Next pagination button should be visible on first page","","Sat Feb 28 02:41:11 UTC 2026","passed","Sat Feb 28 02:41:50 UTC 2026","","Product Search","Next pagination button should be visible on first page",""
"  As a customer
  I want to search for products
  So that I can view relevant search results","9619","Search for a valid product","","Sat Feb 28 02:39:43 UTC 2026","passed","Sat Feb 28 02:39:52 UTC 2026","","Product Search","Search for a valid product",""
"  As a customer
  I want to search for products
  So that I can view relevant search results","37159","The search field should have the correct placeholder text","","Sat Feb 28 02:40:34 UTC 2026","passed","Sat Feb 28 02:41:11 UTC 2026","","Product Search","The search field should have the correct placeholder text",""
"  As a customer
  I want to search for products
  So that I can view relevant search results","41680","Active page number should be 1 after performing a new search","","Sat Feb 28 02:40:34 UTC 2026","passed","Sat Feb 28 02:41:16 UTC 2026","","Product Search","Active page number should be 1 after performing a new search",""
"  As a customer
  I want to search for products
  So that I can view relevant search results","11522","Previous button should appear on second page","","Sat Feb 28 02:40:13 UTC 2026","passed","Sat Feb 28 02:40:24 UTC 2026","","Product Search","Previous button should appear on second page",""
"  As a customer
  I want to search for products
  So that I can view relevant search results","9999","Previous button should be disabled on first page","","Sat Feb 28 02:40:24 UTC 2026","passed","Sat Feb 28 02:40:34 UTC 2026","","Product Search","Previous button should be disabled on first page",""
